name,price,quality,sales
"
            Спортивные брюки 3328595775-33","
              2399 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595775
                    
                      Параметры: Застежка: без застежки; Модель брюк: спортивные; Тип карманов: с отрезным бочком; Тип посадки: высокая
                    ",0
"
            Спортивные брюки 3328595775-33","
              2399 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595775
                    
                      Параметры: Застежка: без застежки; Модель брюк: спортивные; Тип карманов: с отрезным бочком; Тип посадки: высокая
                    ",0
"
            Спортивный джемпер 3328595481-33","
              2799 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595481
                    ",0
"
            Спортивный джемпер 3328595481-33","
              2799 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595481
                    ",0
"
            Спортивная футболка 3328594478-2","
              1599 ₽
            ","
                      Состав: 63% полиэстер, 32% модал, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328594478
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Тип рукава: без рукавов; Наличие принта: без принта; Наличие подкладки: Нет
                    ",0
"
            Спортивная футболка 3328594478-2","
              1599 ₽
            ","
                      Состав: 63% полиэстер, 32% модал, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328594478
                    
                      Параметры: Вырез горловины: округлый; Чашка: без чашек; Тип рукава: без рукавов; Наличие принта: без принта; Наличие подкладки: Нет
                    ",0
"
            Спортивная майка 3224511411-50","
              799 ₽
            ","
                      Состав: 63% полиэстер, 32% модал, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3224511411
                    
                      Параметры: Вырез горловины: округлый; Тип рукава: без рукавов; Наличие принта: с принтом; Наличие подкладки: Нет; Чашка: нет
                    ",0
"
            Спортивная майка 3224511411-50","
              799 ₽
            ","
                      Состав: 63% полиэстер, 32% модал, 5% эластан
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
                    
                      Арт.: 3224511411
                    
                      Параметры: Вырез горловины: округлый; Тип рукава: без рукавов; Наличие принта: с принтом; Наличие подкладки: Нет; Чашка: нет
                    ",0
"
            Спортивные брюки 3328595775-50","
              2399 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595775
                    
                      Параметры: Застежка: без застежки; Модель брюк: спортивные; Тип карманов: с отрезным бочком; Тип посадки: высокая
                    ",0
"
            Спортивные брюки 3328595775-50","
              2399 ₽
            ","
                      Состав: 65% хлопок, 35% полиэстер
                    
                      Страна-производитель: КИТАЙ
                    
                      Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
                    
                      Арт.: 3328595775
                    
                      Параметры: Застежка: без застежки; Модель брюк: спортивные; Тип карманов: с отрезным бочком; Тип посадки: высокая
                    ",0
